alpha1,alpha2,MAE,time_s
1.5,5.0,10.0,0.4519749999999476
1.5,5.0,10.0,0.3066744159999643
1.5,5.0,45.0,0.3015559589999839
1.5,5.0,10.0,0.3419364999999743
1.5,5.0,10.0,0.3084186659999659
1.5,5.0,10.0,0.3170096249999687
1.5,5.0,10.0,0.3382763750000777
1.5,5.0,10.0,0.3007001669999454
1.5,5.0,10.0,0.3121536669999614
1.5,5.0,15.0,0.2729463340000393
1.5,5.0,15.0,0.3899860000000217
1.5,5.0,10.0,0.2979870000000346
1.5,5.0,10.0,0.2610841250000248
1.5,5.0,65.0,0.2892588749999731
1.5,5.0,25.0,0.3168609580000066
1.5,5.0,10.0,0.299792583999988
1.5,5.0,10.0,0.298546291999969
1.5,5.0,10.0,0.2902637500000082
1.5,5.0,20.0,0.2897800000000643
1.5,5.0,15.0,0.3145424580000053
1.5,5.0,10.0,0.2808252080000102
1.5,5.0,10.0,0.3457188339999675
1.5,5.0,35.0,0.3771151250000457
1.5,5.0,10.0,0.3060817919999863
1.5,5.0,10.0,0.3162187079999512
1.5,5.0,10.0,0.3261189579999382
1.5,5.0,40.0,0.2894860830000425
1.5,5.0,30.0,0.3140739579999945
1.5,5.0,30.0,0.2801305420000517
1.5,5.0,10.0,0.2968257499999254
1.5,5.0,10.0,0.3232490420000431
1.5,5.0,45.0,0.2856487080000534
1.5,5.0,40.0,0.2485956250000072
1.5,5.0,20.0,0.2989645420000215
1.5,5.0,10.0,0.3521160000000236
1.5,5.0,10.0,0.2685997499999075
1.5,5.0,10.0,0.2741659999999228
1.5,5.0,10.0,0.2938530000000128
1.5,5.0,10.0,0.2948485419999542
1.5,5.0,70.0,0.310903000000053
1.5,5.0,10.0,0.2861829160000297
1.5,5.0,15.0,0.4283712080000441
1.5,5.0,10.0,0.3429135840000299
1.5,5.0,10.0,0.3430224589999397
1.5,5.0,55.0,0.3135869999999841
1.5,5.0,20.0,0.3202672089998941
1.5,5.0,20.0,0.3328921660000787
1.5,5.0,35.0,0.3061627920000092
1.5,5.0,25.0,0.278770709000014
1.5,5.0,20.0,0.3029947090000178
1.5,5.0,50.0,0.3584590420000495
1.5,5.0,30.0,0.3933975420000024
1.5,5.0,10.0,0.4483944590000419
1.5,5.0,10.0,0.3705125410000391
1.5,5.0,10.0,0.3664733339999202
1.5,5.0,65.0,0.3775818750000326
1.5,5.0,10.0,0.5066350829999919
1.5,5.0,10.0,0.4104885419999391
1.5,5.0,10.0,0.5516172920000599
1.5,5.0,10.0,0.592343708000044
1.5,5.0,30.0,0.4339713749999419
1.5,5.0,75.0,0.366112707999946
1.5,5.0,15.0,0.337773249999941
1.5,5.0,10.0,0.4087152910000213
1.5,5.0,10.0,0.5091360000000122
1.5,5.0,30.0,0.3784920839999586
1.5,5.0,10.0,0.2944775419999814
1.5,5.0,70.0,0.2750235000000884
1.5,5.0,10.0,0.3283423329999095
1.5,5.0,60.0,0.3075340000000324
1.5,5.0,10.0,0.2066545420000238
1.5,5.0,10.0,0.2829401669999924
1.5,5.0,55.0,0.2915416250000362
1.5,5.0,10.0,0.2861889160000146
1.5,5.0,25.0,0.330714209000007
1.5,5.0,10.0,0.298362834000045
1.5,5.0,10.0,0.2851252090000571
1.5,5.0,10.0,0.2934261670000069
1.5,5.0,10.0,0.2865294590000076
1.5,5.0,15.0,0.3043292500000234
1.5,5.0,10.0,0.2811426250000295
1.5,5.0,10.0,0.2923485000000028
1.5,5.0,10.0,0.2967565000000149
1.5,5.0,10.0,0.3397193340000513
1.5,5.0,40.0,0.3822849590000032
1.5,5.0,15.0,0.3350661670000363
1.5,5.0,40.0,0.3143027500000244
1.5,5.0,10.0,0.3625701249999338
1.5,5.0,10.0,0.4871712910000951
1.5,5.0,20.0,0.3063755409999658
1.5,5.0,35.0,0.3104227090000222
1.5,5.0,20.0,0.310204624999983
1.5,5.0,10.0,0.3461860409998962
1.5,5.0,10.0,0.3565887500000144
1.5,5.0,10.0,0.3854226669999434
1.5,5.0,10.0,0.3506395419999535
1.5,5.0,10.0,0.4662512499999138
1.5,5.0,20.0,0.4058905419999519
1.5,5.0,10.0,0.416481167000029
1.5,5.0,10.0,0.3557524169999624
1.5,5.0,10.0,0.3650824999999713
1.5,5.0,10.0,0.3980136249999759
1.5,5.0,10.0,0.3434670840000535
1.5,5.0,10.0,0.3801763330000085
1.5,5.0,15.0,0.3159745829999565
1.5,5.0,15.0,0.3529418330000453
1.5,5.0,10.0,0.3323782909999409
1.5,5.0,10.0,0.3380558750000091
1.5,5.0,10.0,0.3065601670000433
1.5,5.0,15.0,0.3228122499999699
1.5,5.0,10.0,0.3979432500000257
1.5,5.0,10.0,0.378117125000017
1.5,5.0,10.0,0.3619587090000777
1.5,5.0,10.0,0.3640963330000204
1.5,5.0,35.0,0.3692632500000172
1.5,5.0,10.0,0.3805437089999941
1.5,5.0,15.0,0.3551727919999621
1.5,5.0,65.0,0.3665833750000047
1.5,5.0,10.0,0.4412310000000161
1.5,5.0,10.0,0.4133981670000821
1.5,5.0,10.0,0.3501821669999572
1.5,5.0,10.0,0.3828550000000632
1.5,5.0,10.0,0.3639025829999127
1.5,5.0,15.0,0.3422090000000253
1.5,5.0,10.0,0.3221322079999709
1.5,5.0,10.0,0.3265219170000364
1.5,5.0,10.0,0.2995269580000013
1.5,5.0,50.0,0.3334718329999759
1.5,5.0,10.0,0.3812831660000029
1.5,5.0,25.0,0.3328404170000567
1.5,5.0,20.0,0.3459816250000358
1.5,5.0,10.0,0.3637893750000103
1.5,5.0,30.0,0.3373311249999915
1.5,5.0,15.0,0.3181470829999853
1.5,5.0,10.0,0.2532716250000248
1.5,5.0,10.0,0.3391599999999926
1.5,5.0,10.0,0.3001856660000612
1.5,5.0,20.0,0.3616806659999838
1.5,5.0,15.0,0.3695040000000062
1.5,5.0,20.0,0.3165552919999754
1.5,5.0,40.0,0.3617312499999343
1.5,5.0,20.0,0.3284965420000389
1.5,5.0,15.0,0.3504711670000233
1.5,5.0,10.0,0.515871250000032
1.5,5.0,35.0,0.5518280000000004
1.5,5.0,10.0,0.2937269170000718
1.5,5.0,10.0,0.2803741669999908
