family,dim,k,method,trial,k_hat,f1
gaussian,2,0,midast_cvm,69,2,0.0
gaussian,2,0,edivisive,69,0,1.0
gaussian,2,0,ecf_cos,70,0,1.0
gaussian,2,0,midast_ks,70,2,0.0
gaussian,2,0,midast_cvm,70,3,0.0
gaussian,2,0,edivisive,70,1,0.0
gaussian,2,0,ecf_cos,71,0,1.0
gaussian,2,0,midast_ks,71,2,0.0
gaussian,2,0,midast_cvm,71,1,0.0
gaussian,2,0,edivisive,71,0,1.0
gaussian,2,0,ecf_cos,72,0,1.0
gaussian,2,0,midast_ks,72,0,1.0
gaussian,2,0,midast_cvm,72,0,1.0
gaussian,2,0,edivisive,72,0,1.0
gaussian,2,0,ecf_cos,73,0,1.0
gaussian,2,0,midast_ks,73,1,0.0
gaussian,2,0,midast_cvm,73,1,0.0
gaussian,2,0,edivisive,73,0,1.0
gaussian,2,0,ecf_cos,74,0,1.0
gaussian,2,0,midast_ks,74,1,0.0
gaussian,2,0,midast_cvm,74,0,1.0
gaussian,2,0,edivisive,74,0,1.0
gaussian,2,0,ecf_cos,75,0,1.0
gaussian,2,0,midast_ks,75,0,1.0
gaussian,2,0,midast_cvm,75,0,1.0
gaussian,2,0,edivisive,75,0,1.0
gaussian,2,0,ecf_cos,76,0,1.0
gaussian,2,0,midast_ks,76,1,0.0
gaussian,2,0,midast_cvm,76,1,0.0
gaussian,2,0,edivisive,76,0,1.0
gaussian,2,0,ecf_cos,77,0,1.0
gaussian,2,0,midast_ks,77,1,0.0
gaussian,2,0,midast_cvm,77,1,0.0
gaussian,2,0,edivisive,77,0,1.0
gaussian,2,0,ecf_cos,78,0,1.0
gaussian,2,0,midast_ks,78,1,0.0
gaussian,2,0,midast_cvm,78,0,1.0
gaussian,2,0,edivisive,78,0,1.0
gaussian,2,0,ecf_cos,79,1,0.0
gaussian,2,0,midast_ks,79,1,0.0
gaussian,2,0,midast_cvm,79,2,0.0
gaussian,2,0,edivisive,79,2,0.0
gaussian,2,0,ecf_cos,80,0,1.0
gaussian,2,0,midast_ks,80,0,1.0
gaussian,2,0,midast_cvm,80,0,1.0
gaussian,2,0,edivisive,80,0,1.0
gaussian,2,0,ecf_cos,81,0,1.0
gaussian,2,0,midast_ks,81,2,0.0
gaussian,2,0,midast_cvm,81,2,0.0
gaussian,2,0,edivisive,81,0,1.0
gaussian,2,0,ecf_cos,82,1,0.0
gaussian,2,0,midast_ks,82,4,0.0
gaussian,2,0,midast_cvm,82,3,0.0
gaussian,2,0,edivisive,82,0,1.0
gaussian,2,0,ecf_cos,83,0,1.0
gaussian,2,0,midast_ks,83,1,0.0
gaussian,2,0,midast_cvm,83,0,1.0
gaussian,2,0,edivisive,83,0,1.0
gaussian,2,0,ecf_cos,84,0,1.0
gaussian,2,0,midast_ks,84,1,0.0
gaussian,2,0,midast_cvm,84,2,0.0
gaussian,2,0,edivisive,84,0,1.0
gaussian,2,0,ecf_cos,85,0,1.0
gaussian,2,0,midast_ks,85,2,0.0
gaussian,2,0,midast_cvm,85,2,0.0
gaussian,2,0,edivisive,85,0,1.0
gaussian,2,0,ecf_cos,86,0,1.0
gaussian,2,0,midast_ks,86,2,0.0
gaussian,2,0,midast_cvm,86,0,1.0
gaussian,2,0,edivisive,86,0,1.0
gaussian,2,0,ecf_cos,87,0,1.0
gaussian,2,0,midast_ks,87,1,0.0
gaussian,2,0,midast_cvm,87,0,1.0
gaussian,2,0,edivisive,87,0,1.0
gaussian,2,0,ecf_cos,88,0,1.0
gaussian,2,0,midast_ks,88,3,0.0
gaussian,2,0,midast_cvm,88,5,0.0
gaussian,2,0,edivisive,88,0,1.0
gaussian,2,0,ecf_cos,89,0,1.0
gaussian,2,0,midast_ks,89,1,0.0
gaussian,2,0,midast_cvm,89,1,0.0
gaussian,2,0,edivisive,89,0,1.0
gaussian,2,0,ecf_cos,90,0,1.0
gaussian,2,0,midast_ks,90,1,0.0
gaussian,2,0,midast_cvm,90,1,0.0
gaussian,2,0,edivisive,90,0,1.0
gaussian,2,0,ecf_cos,91,0,1.0
gaussian,2,0,midast_ks,91,1,0.0
gaussian,2,0,midast_cvm,91,1,0.0
gaussian,2,0,edivisive,91,0,1.0
gaussian,2,0,ecf_cos,92,0,1.0
gaussian,2,0,midast_ks,92,1,0.0
gaussian,2,0,midast_cvm,92,0,1.0
gaussian,2,0,edivisive,92,0,1.0
gaussian,2,0,ecf_cos,93,0,1.0
gaussian,2,0,midast_ks,93,2,0.0
gaussian,2,0,midast_cvm,93,2,0.0
gaussian,2,0,edivisive,93,0,1.0
gaussian,2,0,ecf_cos,94,0,1.0
gaussian,2,0,midast_ks,94,4,0.0
gaussian,2,0,midast_cvm,94,1,0.0
gaussian,2,0,edivisive,94,0,1.0
gaussian,2,0,ecf_cos,95,0,1.0
gaussian,2,0,midast_ks,95,2,0.0
gaussian,2,0,midast_cvm,95,2,0.0
gaussian,2,0,edivisive,95,0,1.0
gaussian,2,0,ecf_cos,96,0,1.0
gaussian,2,0,midast_ks,96,1,0.0
gaussian,2,0,midast_cvm,96,0,1.0
gaussian,2,0,edivisive,96,0,1.0
gaussian,2,0,ecf_cos,97,0,1.0
gaussian,2,0,midast_ks,97,1,0.0
gaussian,2,0,midast_cvm,97,2,0.0
gaussian,2,0,edivisive,97,0,1.0
